title,authors,journal,year,doi,source_db,search_term,fetched_at,url,idioma
High-throughput phenomics of global ant biodiversity.,Katzke; Hita Garcia; Lösel; Azuma; Faragó; Aibekova; Casadei-Ferreira; Gautam; Richter; Toulkeridou; Bremer; Hamann; Hein; Odar; Sarkar; Zuber; Boomsma; Feitosa; Schrader; Zhang; Csősz; Dong; Evangelista; Fischer; Fisher; Florez-Fernandez; García; Gómez; Grasso; de Greef; Guénard; Hawkes; Johnson; Keller; Larsen; Linksvayer; Liu; Matte; Ogasawara; Ran; Rodriguez; Schifani; Schultz; Shik; Sosa-Calvo; Tong; Tozetto; Yoon; Yoshimura; Zhao; Baumbach; Economo; van de Kamp,Nature methods,2026,NA,PubMed,deforestation brazil,2026-03-07,NA,en
"Industrial Activity, State Capacity, and Deforestation: Evidence from Brazil",Da Mata; Severnini; Dotta,NA,2026,10.2139/ssrn.6102029,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.2139/ssrn.6102029,en
Deforestation jeopardises agribusiness and food security in Brazil and worldwide,Filho,NA,2025,10.64628/ade.fr96axqtn,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.64628/ade.fr96axqtn,en
"Even if Bolsonaro leaves power, deforestation in Brazil will be hard to stop",Basso; Inoue,NA,2025,10.64628/ab.raq79vhnw,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.64628/ab.raq79vhnw,en
How Detection Limits in Satellite Data Undermine Deforestation Policy in Brazil,Baragwanath,NA,2025,10.64240/4288000e3d,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.64240/4288000e3d,en
Ranching-Grabbing Brazil,NA,Clearcut,2025,10.1017/9781009389556.003,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1017/9781009389556.003,en
Addressing Market Failure Which Has Led to Tropical Deforestation with Discrete Choice Models,Caviglia,Sustainable Agriculture in Brazil,2024,10.4337/9781035350940.00012,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.4337/9781035350940.00012,en
Appendix A - Operation Amazonia,Caviglia,Sustainable Agriculture in Brazil,2024,10.4337/9781035350940.00016,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.4337/9781035350940.00016,en
Appendix C - Portuguese Survey,Caviglia,Sustainable Agriculture in Brazil,2024,10.4337/9781035350940.00018,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.4337/9781035350940.00018,en
Bibliography,Caviglia,Sustainable Agriculture in Brazil,2024,10.4337/9781035350940.00020,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.4337/9781035350940.00020,en
Conclusion,Caviglia,Sustainable Agriculture in Brazil,2024,10.4337/9781035350940.00015,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.4337/9781035350940.00015,en
Data Collection and Analysis,Caviglia,Sustainable Agriculture in Brazil,2024,10.4337/9781035350940.00013,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.4337/9781035350940.00013,en
Deforestation and Carbon Emissions from Sugarcane Production in Brazil,Attílio; Silva,NA,2024,10.2139/ssrn.4901258,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.2139/ssrn.4901258,en
Deforestation data presents mixed picture in Brazil,NA,Emerald Expert Briefings,2024,10.1108/oxan-es284555,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es284555,en
Deforestation in the Brazilian Amazon,Caviglia,Sustainable Agriculture in Brazil,2024,10.4337/9781035350940.00010,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.4337/9781035350940.00010,en
Index,Caviglia,Sustainable Agriculture in Brazil,2024,10.4337/9781035350940.00021,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.4337/9781035350940.00021,en
Introduction,Caviglia,Sustainable Agriculture in Brazil,2024,10.4337/9781035350940.00009,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.4337/9781035350940.00009,en
"Linkages between Oil Prices and Sugarcane Ethanol in Brazil, and their Impacts on Food Prices and Deforestation in Brazil",Attílio; Silva,NA,2024,10.2139/ssrn.4901256,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.2139/ssrn.4901256,en
Sustainable Agriculture,Caviglia,Sustainable Agriculture in Brazil,2024,10.4337/9781035350940.00011,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.4337/9781035350940.00011,en
Sustainable Agriculture in Brazil,Caviglia,NA,2024,10.4337/9781035350940,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.4337/9781035350940,en
The Economic Model,Caviglia,Sustainable Agriculture in Brazil,2024,10.4337/9781035350940.00014,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.4337/9781035350940.00014,en
Brazil deforestation data bring pre-summit hopes,NA,Emerald Expert Briefings,2023,10.1108/oxan-es280996,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es280996,en
Brazil deforestation data give hope despite drought,NA,Emerald Expert Briefings,2023,10.1108/oxan-es283301,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es283301,en
Brazil deforestation data will raise Amazon hopes,NA,Emerald Expert Briefings,2023,10.1108/oxan-es281040,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es281040,en
Brazil deforestation drops but pushback will persist,NA,Emerald Expert Briefings,2023,10.1108/oxan-es279652,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es279652,en
Brazil deforestation plummets but challenges remain,NA,Emerald Expert Briefings,2023,10.1108/oxan-es281749,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es281749,en
Elections and Ukraine will drive Brazil deforestation,NA,Emerald Expert Briefings,2022,10.1108/oxan-es268561,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es268561,en
The Deforestation Effects of Trade and Agricultural Productivity in Brazil,Carreira; Costa; Pessoa,NA,2022,10.31235/osf.io/hy3np,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.31235/osf.io/hy3np,en
Brazil deforestation data will drive new pressures,NA,Emerald Expert Briefings,2021,10.1108/oxan-es265595,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es265595,en
Brazil deforestation pressures will mount at COP26,NA,Emerald Expert Briefings,2021,10.1108/oxan-db265043,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-db265043,en
Carbon loss from forest degradation exceeds that from deforestation in the Brazilian Amazon,Yuanwei Qin; Xiangming Xiao; Jean‐Pierre Wigneron; Philippe Ciais; Martin Brandt,Nature Climate Change,2021,https://doi.org/10.1038/s41558-021-01026-5,OpenAlex,deforestation brazil,2026-03-07,NA,en
Deforestation reduces rainfall and agricultural revenues in the Brazilian Amazon,Argemiro Teixeira Leite‐Filho; Britaldo Soares‐Filho; Juliana Leroy Davis; Gabriel Medeiros Abrahão; Jan Börner,Nature Communications,2021,https://doi.org/10.1038/s41467-021-22840-7,OpenAlex,deforestation brazil,2026-03-07,NA,en
Brazil deforestation puts Mercosur-EU deal in doubt,NA,Emerald Expert Briefings,2020,10.1108/oxan-es258061,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es258061,en
Brazil deforestation will rise despite new pressures,NA,Emerald Expert Briefings,2020,10.1108/oxan-es253878,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es253878,en
Change Detection of Deforestation in the Brazilian Amazon Using Landsat Data and Convolutional Neural Networks,Pablo Pozzobon de; Osmar Abílio de Carvalho Júnior; Renato Fontes Guimarães; Roberto Arnaldo Trancoso Gomes,Remote Sensing,2020,https://doi.org/10.3390/rs12060901,OpenAlex,deforestation brazil,2026-03-07,NA,en
Collective property rights reduce deforestation in the Brazilian Amazon,Kathryn Baragwanath; Ella Bayi,Proceedings of the National Academy of Sciences,2020,https://doi.org/10.1073/pnas.1917874117,OpenAlex,deforestation brazil,2026-03-07,NA,en
Illegal deforestation in Brazil soars amid climate of impunity,Escobar,Science,2020,10.1126/science.abe1725,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1126/science.abe1725,en
Long-term forest degradation surpasses deforestation in the Brazilian Amazon,Eraldo Aparecido Trondoli Matricardi; David L. Skole; Olívia Bueno da Costa; Marcos Antônio Pedlowski; Jay H. Samek,Science,2020,https://doi.org/10.1126/science.abb3021,OpenAlex,deforestation brazil,2026-03-07,NA,en
Police role may ease Brazil deforestation criticism,NA,Emerald Expert Briefings,2020,10.1108/oxan-es250603,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es250603,en
Pressures will rise over Brazil Cerrado deforestation,NA,Emerald Expert Briefings,2020,10.1108/oxan-es258222,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es258222,en
Reducing carbon emissions by slowing deforestation: REDD initiatives in Brazil,NA,Avoided Deforestation,2020,10.4324/9780203880999-14,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.4324/9780203880999-14,en
The Brazilian Amazon deforestation rate in 2020 is the greatest of the decade,Celso H. L. Silva; Ana Carolina Moreira Pessôa; Nathália S. Carvalho; João Reis; Liana O. Anderson,Nature Ecology & Evolution,2020,https://doi.org/10.1038/s41559-020-01368-x,OpenAlex,deforestation brazil,2026-03-07,NA,en
Agribusiness focus risks rise in Brazil deforestation,NA,Emerald Expert Briefings,2019,10.1108/oxan-ga245363,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-ga245363,en
Brazil deforestation data will increase policy doubts,NA,Emerald Expert Briefings,2019,10.1108/oxan-es244338,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es244338,en
Brazil deforestation debate targets data not action,NA,Emerald Expert Briefings,2019,10.1108/oxan-es245615,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es245615,en
Brazil deforestation fears rise along with rhetoric,NA,Emerald Expert Briefings,2019,10.1108/oxan-es249452,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es249452,en
Brazil deforestation fears will mount under Bolsonaro,NA,Emerald Expert Briefings,2019,10.1108/oxan-es240150,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es240150,en
Brazil deforestation rises while services contract,NA,Emerald Expert Briefings,2019,10.1108/oxan-es247048,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es247048,en
Brazil deforestation will mount amid data censorship,NA,Emerald Expert Briefings,2019,10.1108/oxan-es245587,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es245587,en
Deforestation control in the Brazilian Amazon: A conservation struggle being lost as agreements and regulations are subverted and bypassed,William Douglas de Carvalho; Karen Mustin; Renato Richard Hilário; Ivan M. Vasconcelos; Vivianne Eilers,Perspectives in Ecology and Conservation,2019,https://doi.org/10.1016/j.pecon.2019.06.002,OpenAlex,deforestation brazil,2026-03-07,NA,en
Deforestation data will divide in Brazil,NA,Emerald Expert Briefings,2019,10.1108/oxan-es225209,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1108/oxan-es225209,en
Law enforcement and deforestation: Lessons for Indonesia from Brazil,Luca Tacconi; Rafael Jacques Rodrigues; Ahmad Maryudi,Forest Policy and Economics,2019,https://doi.org/10.1016/j.forpol.2019.05.029,OpenAlex,deforestation brazil,2026-03-07,NA,en
The Effect of Rural Credit on Deforestation: Evidence from the Brazilian Amazon,Juliano Assunção; Clarissa Gandour; Romero Rocha; Rudi Rocha,The Economic Journal,2019,https://doi.org/10.1093/ej/uez060,OpenAlex,deforestation brazil,2026-03-07,NA,en
Deforestation of the Brazilian Amazon,Philip M. Fearnside,Oxford Research Encyclopedia of Environmental Science,2017,https://doi.org/10.1093/acrefore/9780199389414.013.102,OpenAlex,deforestation brazil,2026-03-07,NA,en
"In controversial move, Brazil may outsource Amazon deforestation monitoring",Stokstad,Science,2017,10.1126/science.aal1145,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1126/science.aal1145,en
Mining drives extensive deforestation in the Brazilian Amazon,Laura J. Sonter; Diego Herrera; D. J. Barrett; Gillian L. Galford; C.J. Moran,Nature Communications,2017,https://doi.org/10.1038/s41467-017-00557-w,OpenAlex,deforestation brazil,2026-03-07,NA,en
"Soy moratorium impacts on soybean and deforestation dynamics in Mato Grosso, Brazil",Jude Kastens; J. Christopher Brown; A. C. Coutinho; Christopher R. Bishop; Júlio César,PLoS ONE,2017,https://doi.org/10.1371/journal.pone.0176168,OpenAlex,deforestation brazil,2026-03-07,NA,en
Brazil has the world’s second largest forest area and the highest deforestation rate,NA,NA,2016,10.1787/888933279661,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1787/888933279661,en
Air quality and human health improvements from reductions in deforestation-related fire in Brazil,Carly Reddington; Edward Butt; D. A. Ridley; Paulo Artaxo; William T. Morgan,Nature Geoscience,2015,https://doi.org/10.1038/ngeo2535,OpenAlex,deforestation brazil,2026-03-07,NA,en
Deforestation slowdown in the Brazilian Amazon: prices or policies?,Juliano Assunção; Clarissa Gandour; Rudi Rocha,Environment and Development Economics,2015,https://doi.org/10.1017/s1355770x15000078,OpenAlex,deforestation brazil,2026-03-07,NA,en
Did Ranchers and Slaughterhouses Respond to Zero-Deforestation Agreements in the Brazilian Amazon?,Holly K. Gibbs; Jacob Munger; Jessica L’Roe; Paulo Barreto; Ritaumaria Pereira,Conservation Letters,2015,https://doi.org/10.1111/conl.12175,OpenAlex,deforestation brazil,2026-03-07,NA,en
"In Brazil, cattle industry begins to help fight deforestation",Wilkinson,Science,2015,10.1126/science.aac4610,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1126/science.aac4610,en
Actor-specific contributions to the deforestation slowdown in the Brazilian Amazon,Javier Godar; Toby Gardner; E. Jorge Tizado; Pablo Pacheco,Proceedings of the National Academy of Sciences,2014,https://doi.org/10.1073/pnas.1322825111,OpenAlex,deforestation brazil,2026-03-07,NA,en
Cattle ranching intensification in Brazil can reduce global greenhouse gas emissions by sparing land from deforestation,Avery Cohn; Aline Mosnier; Peter Havlík; Hugo Valin; Mario Herrero,Proceedings of the National Academy of Sciences,2014,https://doi.org/10.1073/pnas.1307163111,OpenAlex,deforestation brazil,2026-03-07,NA,en
"Influence of Deforestation, Logging, and Fire on Malaria in the Brazilian Amazon",Micah B. Hahn; Ronald E. Gangnon; Christovam Barcellos; Gregory P. Asner; Jonathan A. Patz,PLoS ONE,2014,https://doi.org/10.1371/journal.pone.0085725,OpenAlex,deforestation brazil,2026-03-07,NA,en
Public policies can reduce tropical deforestation: Lessons and challenges from Brazil,Eugênio Arima; Paulo Barreto; Elis Araújo; Britaldo Soares‐Filho,Land Use Policy,2014,https://doi.org/10.1016/j.landusepol.2014.06.026,OpenAlex,deforestation brazil,2026-03-07,NA,en
